ID,SDSS_NAME,R.A. [deg],Dec. [deg],redshift,log M_*/M_sun,r [mag],i [mag],r_tidal [mag],i_tidal [mag],log f_tidal
1986,J134639.90+014028.5,206.66628,1.67461,0.127,11.16(0.16),17.033(0.007),16.645(0.005),20.68(0.04),20.44(0.03),-1.50(0.18) 
2009,J135117.42+014813.8,207.82261,1.80387,0.095,11.08(0.18),16.418(0.005),15.933(0.004),20.04(0.03),19.79(0.02),-1.51(0.18) 
2023,J135401.12-013412.0,208.50472,-1.57001,0.148,11.39(0.12),17.298(0.007),16.871(0.006),20.65(0.04),20.42(0.03),-1.40(0.16) 
2036,J135632.36+004819.2,209.13488,0.80535,0.13,11.15(0.16),17.276(0.007),16.795(0.006),20.87(0.04),20.61(0.04),-1.49(0.18) 
2049,J135948.31-004558.1,209.95131,-0.76615,0.106,11.11(0.13),16.416(0.005),16.034(0.004),19.43(0.02),19.28(0.02),-1.27(0.15) 
2057,J140630.46-012401.5,211.62696,-1.40044,0.129,11.12(0.15),17.499(0.008),17.037(0.006),20.18(0.03),22.09(0.08),-1.36(0.16) 
2068,J140906.46+013137.8,212.27696,1.52716,0.115,11.27(0.17),16.342(0.005),15.926(0.004),19.84(0.03),19.71(0.02),-1.47(0.17) 
2119,J141610.13+435555.9,214.04226,43.93221,0.137,11.54(0.11),16.023(0.004),15.633(0.003),18.94(0.02),18.58(0.01),-1.20(0.13) 
2149,J142030.11+430403.1,215.12548,43.06756,0.103,11.14(0.15),16.634(0.005),16.237(0.004),19.11(0.02),18.76(0.01),-1.04(0.09) 
2183,J142616.34+005015.3,216.56809,0.83761,0.125,11.81(0.10),15.546(0.003),15.109(0.003),19.17(0.02),18.98(0.02),-1.51(0.18) 
2212,J143035.27+443825.4,217.64701,44.64035,0.093,11.41(0.18),15.813(0.004),15.366(0.003),19.33(0.02),19.37(0.02),-1.51(0.18) 
2223,J143218.72-000222.2,218.07804,-0.03949,0.131,11.58(0.13),16.575(0.005),16.120(0.004),19.64(0.02),19.47(0.02),-1.30(0.15) 
2267,J143928.78+024607.4,219.86994,2.76877,0.144,11.90(0.13),15.863(0.004),15.418(0.003),19.44(0.02),19.05(0.02),-1.46(0.17) 
2330,J145136.07+432340.8,222.90028,43.39467,0.116,11.24(0.14),16.540(0.005),16.088(0.004),20.00(0.03),19.93(0.03),-1.47(0.17) 
2337,J145236.98+004803.3,223.15412,0.80095,0.148,11.12(0.14),17.067(0.007),16.674(0.005),20.40(0.03),20.99(0.04),-1.50(0.18) 
2399,J151603.07+441946.2,229.01283,44.3295,0.122,11.23(0.14),16.312(0.005),15.960(0.004),19.23(0.02),19.30(0.02),-1.27(0.14) 
2402,J151824.67+444155.1,229.60281,44.69864,0.144,11.50(0.12),16.447(0.005),16.075(0.004),19.94(0.03),20.08(0.04),-1.50(0.18) 
2408,J151940.89+434221.6,229.92041,43.70598,0.118,11.27(0.12),16.746(0.006),16.343(0.005),20.16(0.03),19.89(0.03),-1.41(0.17) 
2464,J160022.27+444321.6,240.09284,44.72266,0.135,11.46(0.11),16.289(0.005),15.835(0.004),19.75(0.03),19.62(0.03),-1.46(0.17) 
2498,J162848.52+430657.1,247.2022,43.11586,0.145,11.22(0.19),16.816(0.006),16.470(0.005),20.16(0.03),20.19(0.03),-1.42(0.17) 
2590,J230530.95+004920.3,346.37898,0.82232,0.069,11.30(0.14),15.555(0.003),15.168(0.003),18.82(0.01),18.46(0.01),-1.33(0.15) 
2605,J232428.38-004834.7,351.11829,-0.80965,0.102,11.35(0.12),15.884(0.004),15.436(0.003),19.35(0.02),18.93(0.02),-1.41(0.17) 
2618,J233559.38-003531.0,353.99745,-0.59196,0.135,11.17(0.15),17.092(0.007),16.657(0.005),20.76(0.04),20.49(0.04),-1.51(0.18) 
2642,J235618.61-010206.4,359.07759,-1.03513,0.141,11.15(0.12),17.250(0.007),16.832(0.006),20.82(0.04),20.49(0.04),-1.46(0.17) 
